Color,Paint,Gage,GroovedEmbossed,GroovedSmooth,SilklineEmbossed,SilklineSmooth,MicroribbedEmbossed,MicroribbedSmooth,Embossed,Smooth
Gris Pierre/Stone Grey,SMP CLASSIC,22,51.34,50.25,51.34,50.25,48.35,47.8,24',24'
Gris Pierre/Stone Grey,SMP CLASSIC,24,47.08,46.56,47.08,46.56,43.92,46.56,NA,NA
Gris Pierre/Stone Grey,SMP CLASSIC,26,45.77,44.49,45.77,44.49,42.69,42.85,NA,NA
Argent Brillant/Bright Silver perspectra,METALLIC,22,50.89,49.77,50.89,49.77,47.84,47.28,24',24'
Argent Brillant/Bright Silver perspectra,METALLIC,24,46.57,46.07,46.57,46.07,43.41,46.07,NA,NA
Argent Brillant/Bright Silver perspectra,METALLIC,26,45.24,43.94,45.24,43.94,42.22,42.36,NA,NA
Gris élément/Element Grey,PVDF CLASSIC,22,46,45,46,45,43,42,24',24'
Gris élément/Element Grey,PVDF CLASSIC,24,46.35,45.85,46.35,45.85,43.2,45.85,NA,NA
Gris élément/Element Grey,PVDF CLASSIC,26,45.01,43.71,45.01,43.71,42.01,42.14,NA,NA
Riesling/Riesling,METALLIC,22,46.94,45.71,46.94,45.71,43.6,42.93,21',20'
Riesling/Riesling,METALLIC,24,42.11,41.7,42.11,41.7,38.94,41.7,NA,NA
Riesling/Riesling,METALLIC,26,40.41,39.13,40.41,39.13,37.63,37.57,NA,NA
Vibrant Red,SMP PREMIUM,22,46.87,45.63,46.87,45.63,43.52,42.85,21',20'
Vibrant Red,SMP PREMIUM,24,42.02,41.62,42.02,41.62,38.85,41.62,NA,NA
Vibrant Red,SMP PREMIUM,26,40.32,39.04,40.32,39.04,37.54,37.46,NA,NA
Beige Surrey ,PVDF CLASSIC,22,45.01,43.76,45.01,43.76,41.63,40.91,21',20'
Beige Surrey ,PVDF CLASSIC,24,39.87,39.51,39.87,39.51,36.69,39.51,NA,NA
Beige Surrey ,PVDF CLASSIC,26,37.87,36.69,37.87,36.69,35.06,34.86,NA,NA
Fauve/Tan,SMP CLASSIC,22,44.4,43.15,44.4,43.15,41.03,40.29,21',20'
Fauve/Tan,SMP CLASSIC,24,39.16,38.81,39.16,38.81,35.97,38.81,NA,NA
Fauve/Tan,SMP CLASSIC,26,37.04,35.91,37.04,35.91,34.2,33.95,NA,NA
Pacific Turquoise,SMP PREMIUM,22,41.44,40.24,41.44,40.24,38.21,37.41,21',20'
Pacific Turquoise,SMP PREMIUM,24,35.64,35.37,35.64,35.37,32.44,35.37,NA,NA
Pacific Turquoise,SMP PREMIUM,26,32.84,32.03,32.84,32.03,29.71,29.18,NA,NA
Bleu Ardoise/Slate Blue,SMP PREMIUM,22,41.4,40.2,41.4,40.2,38.17,37.37,21',20'
Bleu Ardoise/Slate Blue,SMP PREMIUM,24,35.59,35.32,35.59,35.32,32.39,35.32,NA,NA
Bleu Ardoise/Slate Blue,SMP PREMIUM,26,32.78,31.98,32.78,31.98,29.65,29.11,NA,NA
étain/Pewter perspectra,METALLIC,22,41.4,40.2,41.4,40.2,38.17,37.37,21',20'
étain/Pewter perspectra,METALLIC,24,35.59,35.32,35.59,35.32,32.39,35.32,NA,NA
étain/Pewter perspectra,METALLIC,26,32.78,31.98,32.78,31.98,29.65,29.11,NA,NA
Acier Satiné/Satin Steel,PVDF SIGNATURE,22,41.19,40,41.19,40,37.98,37.17,21',20'
Acier Satiné/Satin Steel,PVDF SIGNATURE,24,35.33,35.07,35.33,35.07,32.13,35.07,NA,NA
Acier Satiné/Satin Steel,PVDF SIGNATURE,26,32.46,31.7,32.46,31.7,29.3,28.74,NA,NA
Cuivre/Copper,METALLIC,22,41.05,39.86,41.05,39.86,37.85,37.04,21',20'
Cuivre/Copper,METALLIC,24,35.16,34.9,35.16,34.9,31.96,34.9,NA,NA
Cuivre/Copper,METALLIC,26,32.26,31.51,32.26,31.51,29.07,28.5,NA,NA
Fusain/Charcoal,PVDF CLASSIQUE,22,42,40,42,40,37.64,38,21',20'
Fusain/Charcoal,PVDF CLASSIQUE,24,34.88,34.62,34.88,34.62,31.68,34.62,NA,NA
Fusain/Charcoal,PVDF CLASSIQUE,26,31.9,31.19,31.9,31.19,28.68,28.08,NA,NA
